Laurie Metcalf,1
Justin Braine,1
Asa Butterfield,1
Arturo de Córdova,1
Ray Bolger,1
Miles Teller,1
Anne Francis,1
Hartley Power,1
Dianne Wiest,1
Tony Curtis,1
Clara Bow,1
Isobel Elsom,1
Kathryn Grayson,1
Caleb Landry Jones,1
Joel Edgerton,1
George Murphy,1
Leo G. Carroll,1
Anna Magnani,1
Geneviève Bujold,1
Celia Johnson,1
Bela Lugosi,1
Josh Charles,1
Leopold Stokowski,1
Doug McKeon,1
Janet Suzman,1
Zoë Kravitz,1
Carol Kane,1
Richard Arlen,1
Martin Benson,1
Michelle Rodriguez,1
Steve Buscemi,1
Kirk Acevedo,1
Judd Hirsch,1
Benicio Del Toro,1
Tony Wager,1
Marjorie Main,1
Nicolas Cage,1
Brian Geraghty,1
Mark Hamill,1
Clifton Webb,1
"""Mo'Nique""",1
Thomas Horn,1
David Thewlis,1
Michael Crawford,1
Binnie Barnes,1
Jackie Searl,1
Millard Mitchell,1
Daniel Craig,1
George Kennedy,1
Albert Gran,1
Evelyn Venable,1
Geraldine Chaplin,1
Bradley Whitford,1
Brad Davis,1
Augusta Ciolli,1
Edwina Booth,1
Sven-Olof Bern,1
Sela Ward,1
Brian Keith,1
Kirsten Sheridan,1
Kim Novak,1
Colin Firth,1
David Tomlinson,1
Marie Prevost,1
William Eythe,1
Roscoe Karns,1
Richard Eyer,1
Trevante Rhodes,1
Estelle Parsons,1
Casey Affleck,1
Lawrence A. Bonney,1
Leslie Banks,1
Lily James,1
Burl Ives,1
Melissa Leo,1
Will Poulter,1
Leslie Fenton,1
Michael Murphy,1
Rita Johnson,1
Patrick McGoohan,1
Richard Gaines,1
Charles King,1
Don Cheadle,1
Ann Reinking,1
Edgar Buchanan,1
Edmund Lowe,1
Kim Hunter,1
Mare Winningham,1
Brandon De Wilde,1
Emory Cohen,1
Joel Grey,1
Steve Zahn,1
Tullio Carminati,1
Victor McLaglen,1
Sonia Todd,1
Jeanne Crain,1
David Oyelowo,1
George Bancroft,1
Rodney A. Grant,1
Rami Malek,1
Martin Sheen,1
Natalie Portman,1
Evelyn Keyes,1
Millie Perkins,1
Fred Stone,1
Marina de Tavira,1
James Stephenson,1
Dennis Morgan,1
Steve Coogan,1
Sunny Pawar,1
Andy Devine,1
Barkhad Abdi,1
Philip Dorn,1
Julia Foster,1
Harriet Andersson,1
Peter Lorre,1
Edith Evans,1
Shelley Duvall,1
Reginald Gardiner,1
Gloria Swanson,1
Natalie Wood,1
Barry Keoghan,1
Sean Bridgers,1
Joan Cusack,1
Tony Lo Bianco,1
Robert Prosky,1
Don Taylor,1
Lucy Boynton,1
Renato Scarpa,1
Nelson Eddy,1
Henry Hull,1
Julia Roberts,1
Patrick Swayze,1
Raymond J. Barry,1
Charles Winninger,1
George Tobias,1
Armin Mueller-Stahl,1
Art Evans,1
John Leguizamo,1
Gabrielle Anwar,1
Jovan Adepo,1
Tony Roberts,1
Keith Carradine,1
John Randolph,1
Ian Charleson,1
Diana Wynyard,1
James McAvoy,1
Sylvia Sidney,1
Barbara Stanwyck,1
Una Merkel,1
Eddie Axberg,1
Hugo Haas,1
Emmanuelle Riva,1
Miriam Margolyes,1
Tsuyoshi Ihara,1
Ellar Coltrane,1
Jane Wyatt,1
Bryan Cranston,1
Kelly McGillis,1
Sophie Kennedy Clark,1
Lon Chaney Jr.,1
John Hurt,1
Anna Lee,1
Michelle Pfeiffer,1
"""Arthur O'Connell""",1
David Morse,1
Sean Bean,1
Dirk Bogarde,1
Allen Leech,1
Kasi Lemmons,1
Lorraine Bracco,1
James Dunn,1
Paul Benedict,1
Cathy Moriarty,1
Sarah Miles,1
Richard Dix,1
Jean Harlow,1
Timothy Bottoms,1
Bruce Bennett,1
Alan Alda,1
Michael Kenneth Williams,1
Amara Miller,1
Leigh Lawson,1
Carlos Peralta,1
Taye Diggs,1
Lloyd Bridges,1
Dean Stockwell,1
Laraine Day,1
Stellan Skarsgård,1
James Brown,1
Irene Miracle,1
Jack Oakie,1
Cliff Gorman,1
Lana Turner,1
Suzanne Flon,1
Merle Oberon,1
Gael García Bernal,1
Anne Hathaway,1
Paul Winfield,1
Guy Standing,1
Michael Berryman,1
Roddy McDowall,1
Anita Page,1
Karen Allen,1
Jordan Nagai,1
Luke Bracey,1
Wim Snape,1
H.B. Warner,1
Donald Crisp,1
Wes Bentley,1
Ingrid Thulin,1
Jason Cope,1
Ladah,1
Phillip Terry,1
Eddie Albert,1
Chadwick Boseman,1
Ewan McGregor,1
Ann Harding,1
"""Nance O'Neil""",1
Judy Davis,1
Victor Francen,1
Cole Konis,1
Mary Boland,1
Susannah York,1
Liza Minnelli,1
Javier Bardem,1
John Boles,1
Brian Donlevy,1
Richard Kind,1
Noel Francis,1
Mona Barrie,1
Sam Shepard,1
Lionel Stander,1
Phyllis Boyens-Liptak,1
Claire Trevor,1
Dorothy Burgess,1
Jeremy Irvine,1
François Périer,1
Cameron Diaz,1
Richard Haydn,1
Samantha Eggar,1
Paolo Bonacelli,1
Radha Mitchell,1
Vera Voronina,1
Quvenzhané Wallis,1
Ron Moody,1
Jan Miner,1
John Travolta,1
Frankie Avalon,1
Michael York,1
Alison Whelan,1
Ben Foster,1
Edward Burns,1
Eleanor Parker,1
Estelle Taylor,1
Anthony Perkins,1
Roberto Benigni,1
John Laurie,1
Bernard Miles,1
David James,1
Amber Tamblyn,1
John Ireland,1
Linda Darnell,1
Ronald Reagan,1
Giovanni Ribisi,1
Charles Martin Smith,1
Donald Cook,1
Akim Tamiroff,1
Louise Fletcher,1
Dita Parlo,1
John Derek,1
Henry Thomas,1
Lee Grant,1
Dick Van Dyke,1
Claude Jarman Jr.,1
James Murray,1
Jean Short,1
Adolph Caesar,1
Sally Kellerman,1
Lila Kedrova,1
Marisa Pavan,1
Harry Stubbs,1
Tony Goldwyn,1
John McEnery,1
John Hodiak,1
Mark Lester,1
Kate Beckinsale,1
Nick Stahl,1
Gil Birmingham,1
James Franco,1
Hugh Griffith,1
Carrie Fisher,1
Ben Mendelsohn,1
Marian Marsh,1
Valerie Perrine,1
Ruocheng Ying,1
Valeria Golino,1
Richard Gere,1
Grace Moore,1
Paula Patton,1
Felix Aylmer,1
Robert Loggia,1
Zsa Zsa Gabor,1
Geraldine Muir,1
Ross Alexander,1
Guy Kibbee,1
David Brisbin,1
Cicely Tyson,1
Jacob Vargas,1
Dorothy Wilson,1
Victor Banerjee,1
Charlie Sheen,1
Hugh Grant,1
Tom Prior,1
Barbara Hershey,1
Frank Sinatra,1
Richard Crenna,1
Marlee Matlin,1
Ron Howard,1
Howard E. Rollins Jr.,1
Ellen Burstyn,1
Penelope Milford,1
Mary Ure,1
Will Rogers,1
Danny DeVito,1
Kyle Gallner,1
Giorgio Cantarini,1
Paul Sorvino,1
Margot Grahame,1
Betsy Blair,1
Anthony Mackie,1
G. Pat Collins,1
Lowell Landes,1
Isaiah Stone,1
Christine Cavanaugh,1
Kristen Wiig,1
Chloë Grace Moretz,1
William H. Macy,1
Jesse Corti,1
Byron Barr,1
Felix Bressart,1
Nancy Olson,1
Sylvester Stallone,1
Kevin Hooks,1
Frank Vincent,1
Roscoe Ates,1
Saurabh Shukla,1
Coral Browne,1
Shirley Jones,1
Samuel L. Jackson,1
Timothée Chalamet,1
John McGiver,1
Bo Hopkins,1
Heather Angel,1
John Turturro,1
Joanne Dru,1
Dean Martin,1
Zach Galifianakis,1
Sophie Marceau,1
Valerie Hobson,1
Billy Boyd,1
Michael B. Jordan,1
Mia Wasikowska,1
Julie Vollono,1
Regina King,1
Patricia Owens,1
Ruth Chatterton,1
Ziyi Zhang,1
Stewart Granger,1
Chris Pratt,1
Charles Chaplin,1
Margaret Lindsay,1
Robert Sean Leonard,1
Gerald R. Molen,1
Daniel Kaluuya,1
Torin Thatcher,1
Massimo Troisi,1
Melissa Benoist,1
Rachel Weisz,1
Orto Ignatiussen,1
John Marley,1
Peter Firth,1
Nah,1
Heath Ledger,1
A.E. Anson,1
Denzel Washington,1
Graham Greene,1
Eleanor Griffith,1
Danai Gurira,1
Mae Busch,1
Diane Venora,1
Dolores Costello,1
Justin Henry,1
Buddy Hackett,1
Philip King,1
Armie Hammer,1
Jake Gyllenhaal,1
Christoph Waltz,1
Robby Benson,1
Mark Strong,1
Bonnie Hunt,1
Jared Leto,1
Kru,1
Tom Sizemore,1
Isabelle Huppert,1
Zena Walker,1
Jae Head,1
Olivia Hussey,1
Minna Gombell,1
Gail Patrick,1
Shailene Woodley,1
Ina Claire,1
Alexander Knox,1
Jaye Davidson,1
Emilia Fox,1
Bruno Ganz,1
Michael J. Pollard,1
Nick Krause,1
Ryo Kase,1
Gail Strickland,1
Edward Norton,1
Ned Sparks,1
Carrie-Anne Moss,1
Haing S. Ngor,1
Bryce Dallas Howard,1
Shirley Temple,1
Marisa Berenson,1
Amy Ryan,1
Van Heflin,1
Jean Dujardin,1
Will Sampson,1
John Shea,1
Rosemary Murphy,1
Winona Ryder,1
James Earl Jones,1
Julie Kavner,1
John David Washington,1
Owen Wilson,1
Anne Archer,1
Paul Fox,1
Elizabeth Berridge,1
Tabu,1
K Callan,1
Bebe Daniels,1
Rohini Hattangadi,1
"""James D'Arcy""",1
John Collin,1
Alec Baldwin,1
Judy Garland,1
Stephen Rea,1
June Squibb,1
Carmen Mathews,1
Jeremy Irons,1
Ryan Phillippe,1
Topol,1
Lee Marvin,1
Joan Chen,1
Haley Joel Osment,1
Caroline Goodall,1
Woody Allen,1
Esmond Knight,1
Randy Quaid,1
Michael Kitchen,1
Jennifer Connelly,1
Terry Kilburn,1
Carroll Baker,1
Stephen Boyd,1
Fay Wray,1
Stephen Young,1
Frank Langella,1
"""Alexander D'Arcy""",1
Leo McKern,1
Adil Hussain,1
Lesley Manville,1
Millicent Martin,1
Michael Cera,1
Sam Elliott,1
Cher,1
Will Forte,1
Mila Kunis,1
Anthony Newley,1
Zachary Scott,1
Jim Caviezel,1
Brad Dourif,1
Marsha Mason,1
Melanie Griffith,1
Justin Timberlake,1
Rosemarie DeWitt,1
O.P. Heggie,1
Gwyneth Paltrow,1
Ben Bard,1
Topher Grace,1
Lee Remick,1
Roshan Seth,1
Lorraine Gary,1
Mary McDonnell,1
Chris Pine,1
Betty Hutton,1
Warner Oland,1
Claire Rushbrook,1
Mel Gibson,1
Clifton Collins Jr.,1
Kay Medford,1
Jobyna Ralston,1
Thomas Kretschmann,1
Nicholas Farrell,1
Anna Kendrick,1
Nicoletta Braschi,1
Marie Lohr,1
