,title,gross,link,year,director,actors,runtime,genre,metascore
78,Casablanca,$1.02M,https://www.imdb.com/title/tt0034583/,1942,Michael Curtiz,"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains']",130 min,"['Drama', 'Mystery', 'Romance']",100        
79,Borte med blæsten,$198.68M,https://www.imdb.com/title/tt0031381/,1939,Victor Fleming,"['George Cukor', 'Sam Wood', 'Clark Gable', 'Vivien Leigh', 'Thomas Mitchell', ""Barbara O'Neil""]",238 min,"['Drama', 'History', 'Romance']",97        
80,Borte med blæsten,$198.68M,https://www.imdb.com/title/tt0031381/,1939,Victor Fleming,"['George Cukor', 'Sam Wood', 'Clark Gable', 'Vivien Leigh', 'Thomas Mitchell', ""Barbara O'Neil""]",126 min,"['Comedy', 'Drama', 'Romance']",97        
81,Borte med blæsten,$198.68M,https://www.imdb.com/title/tt0031381/,1939,Victor Fleming,"['George Cukor', 'Sam Wood', 'Clark Gable', 'Vivien Leigh', 'Thomas Mitchell', ""Barbara O'Neil""]",116 min,"['Biography', 'Drama']",97        
82,Borte med blæsten,$198.68M,https://www.imdb.com/title/tt0031381/,1939,Victor Fleming,"['George Cukor', 'Sam Wood', 'Clark Gable', 'Vivien Leigh', 'Thomas Mitchell', ""Barbara O'Neil""]",176 min,"['Biography', 'Drama', 'Musical']",97        
83,Mytteri på Bounty,"19,124",https://www.imdb.com/title/tt0026752/,1935,Frank Lloyd,"['Charles Laughton', 'Clark Gable', 'Franchot Tone', 'Herbert Mundin']",132 min,"['Adventure', 'Biography', 'Drama']",87        
84,Det hændte en nat,$4.36M,https://www.imdb.com/title/tt0025316/,1934,Frank Capra,"['Clark Gable', 'Claudette Colbert', 'Walter Connolly', 'Roscoe Karns']",105 min,"['Comedy', 'Romance']",87        
85,Det hændte en nat,$4.36M,https://www.imdb.com/title/tt0025316/,1934,Frank Capra,"['Clark Gable', 'Claudette Colbert', 'Walter Connolly', 'Roscoe Karns']",112 min,"['Drama', 'Romance', 'War']",87        
86,Det hændte en nat,$4.36M,https://www.imdb.com/title/tt0025316/,1934,Frank Capra,"['Clark Gable', 'Claudette Colbert', 'Walter Connolly', 'Roscoe Karns']",112 min,"['Drama', 'Romance']",87        
87,Det hændte en nat,$4.36M,https://www.imdb.com/title/tt0025316/,1934,Frank Capra,"['Clark Gable', 'Claudette Colbert', 'Walter Connolly', 'Roscoe Karns']",123 min,"['Drama', 'Western']",87        
88,Intet nyt fra vestfronten,$3.27M,https://www.imdb.com/title/tt0020629/,1930,Lewis Milestone,"['Lew Ayres', 'Louis Wolheim', 'John Wray', 'Arnold Lucy']",136 min,"['Drama', 'War']",91        
89,Intet nyt fra vestfronten,$3.27M,https://www.imdb.com/title/tt0020629/,1930,Lewis Milestone,"['Lew Ayres', 'Louis Wolheim', 'John Wray', 'Arnold Lucy']",100 min,"['Drama', 'Musical', 'Romance']",91        
90,Intet nyt fra vestfronten,$3.27M,https://www.imdb.com/title/tt0020629/,1930,Lewis Milestone,"['Lew Ayres', 'Louis Wolheim', 'John Wray', 'Arnold Lucy']",144 min,"['Drama', 'Romance', 'War']",91        
91,Intet nyt fra vestfronten,$3.27M,https://www.imdb.com/title/tt0020629/,1930,Lewis Milestone,"['Lew Ayres', 'Louis Wolheim', 'John Wray', 'Arnold Lucy']",94 min,"['Drama', 'Romance']",91        
92,Green Book,$85.08M,https://www.imdb.com/title/tt6966692/,2018,Peter Farrelly,"['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini', 'Sebastian Maniscalco']",130 min,"['Biography', 'Comedy', 'Drama']",69        
93,The Shape of Water,$63.86M,https://www.imdb.com/title/tt5580390/,2017,Guillermo del Toro,"['Sally Hawkins', 'Octavia Spencer', 'Michael Shannon', 'Doug Jones']",123 min,"['Adventure', 'Drama', 'Fantasy']",87        
